Defect ID,Defect Description,Steps to Reproduce,Actual Result,Exp Result,Severity,Priority,Raised By,Defect Raised Date,Assigned To,Root Cause,Fix Applied,Status
DEF_001,All operations related with required Skills are Case sensitive,Step 1: Login as Manager ; Step 2 : Search Employees by Skills ,The result from this operations are empty as there has been a mismatch in the case used to store in the file and the case used by the user,The operation should return the employee details irrespective of the case used while searching by skills,High,High,Kavin,19/03/2026,Karthikeyan,Not using a relevant functions,Added the appropriate functions,Closed
DEF_002,Password strength wasnt checked while registering,Step 1 : Login as Admin; Step 2 : Register a new user,The application allow weak passwords,Prompt the user to use Strong password,High,High,Karthikeyan,20/03/2026,Kavin,No appropriate methods were created,Created a method that checks a string whether it is strong,Closed
DEF_003,Missing password confirmation,Step 1 : Login as Admin; Step 2 : Register a new user,No confirmation of password,Prompt the user to enter password again,Low,Low,Aathish,20/01/2026,Chanakya,No conditions for confirmation,Added conditions for confirmation ,Closed
DEF_004,Mapping of Agent ID is not working from assignment table to claims table,"Step 1: Run ""python main.py"" 
Step 2: Login as admin and go to admin dashboard
Step 3: Choose assigning claims to agent 
Step 4: After assigning GOTO claims table and see the agent ID,Agent is NULL ",Agent id is not getting reflected in claims table,Agent id should be reflected in Claims table,High,High,Chinranjeevi,16/01/2026,Aravind,"While Integrating , Updating query for the claims table is missing",Added that updating query for the claims table,Closed
